FI_CODE,FI_NAME_THAI,FI_NAME_ENGLISH,OPEN_DATE
001,ธนาคารแห่งประเทศไทย,BANK OF THAILAND,24851210
002,ธ. กรุงเทพ จำกัด (มหาชน),BANGKOK BANK PUBLIC COMPANY LTD.,24871201
004,ธ. กสิกรไทย จำกัด (มหาชน),KASIKORNBANK PUBLIC COMPANY LTD.,24880608
006,ธ. กรุงไทย จำกัด (มหาชน),KRUNG THAI BANK PUBLIC COMPANY LTD.,25090314
008,ธ. เจพีมอร์แกน เชส,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",24920805
009,ธ. โอเวอร์ซี-ไชนีสแบงกิ้งคอร์ปอเรชั่น จำกัด,OVER SEA-CHINESE BANKING CORPORATION LIMITED,24520702
011,ธ. ทหารไทย จำกัด (มหาชน),TMB BANK PUBLIC COMPANY LIMITED,25001108
014,ธ. ไทยพาณิชย์ จำกัด (มหาชน),SIAM COMMERCIAL BANK PUBLIC COMPANY LTD.,24490401
017,ธ. ซิตี้แบงก์ เอ็น.เอ.,"CITIBANK, N.A.",24660101
018,ธ. ซูมิโตโม มิตซุย แบงกิ้ง คอร์ปอเรชั่น,SUMITOMO MITSUI BANKING CORPORATION,24951122
020,ธ. สแตนดาร์ดชาร์เตอร์ด (ไทย) จำกัด (มหาชน),STANDARD CHARTERED BANK (THAI) PUBLIC COMPANY LIMITED,24761011
022,ธ. ซีไอเอ็มบี ไทย จำกัด (มหาชน),CIMB THAI BANK PUBLIC COMPANY LIMITED,24920311
023,ธ. อาร์ เอช บี จำกัด,RHB BANK BERHAD,25070228
024,ธ. ยูโอบี จำกัด (มหาชน),UNITED OVERSEAS BANK (THAI) PUBLIC COMPANY LIMITED,24821002
025,ธ. กรุงศรีอยุธยา จำกัด (มหาชน),BANK OF AYUDHYA PUBLIC COMPANY LTD.,24880402
026,ธ. เมกะ สากลพาณิชย์ จำกัด (มหาชน),MEGA  INTERNATIONAL COMMERCIAL BANK PUBLIC COMPANY LIMITED,24901010
027,ธ. แห่งอเมริกาเนชั่นแนลแอสโซซิเอชั่น,"BANK OF AMERICA, NATIONAL ASSOCIATION",24921201
029,ธ. อินเดียนโอเวอร์ซีส์,INDIAN OVERSEA BANK,24901223
030,ธ. ออมสิน,GOVERNMENT SAVINGS BANK,24560401
031,ธ. ฮ่องกงและเซี่ยงไฮ้แบงกิ้งคอร์ปอเรชั่น จำกัด,THE HONGKONG AND SHANGHAI BANKING CORPORATION LTD.,24311202
032,ธ. ดอยซ์แบงก์,DEUTSCHE BANK AG.,25210703
033,ธ. อาคารสงเคราะห์,GOVERNMENT HOUSING BANK,24960924
034,ธ. เพื่อการเกษตรและสหกรณ์การเกษตร,BANK FOR AGRICULTURE AND AGRICULTURAL COOPERATIVES,25091101
035,ธ. เพื่อการส่งออกและนำเข้าแห่งประเทศไทย,EXPORT-IMPORT BANK OF THAILAND,25370217
039,ธ. มิซูโฮ จำกัด สาขากรุงเทพฯ,"MIZUHO BANK, LTD. BANGKOK BRANCH",25450401
045,ธ. บีเอ็นพี พารีบาส์,BNP PARIBAS,25361109
052,ธ. แห่งประเทศจีน (ไทย) จำกัด (มหาชน),BANK OF CHINA (THAI) PUBLIC COMPANY LIMITED,25370221
065,ธ. ธนชาต จำกัด (มหาชน),THANACHART BANK PUBLIC COMPANY LTD.,25450422
066,ธ. อิสลามแห่งประเทศไทย,ISLAMIC BANK OF THAILAND,25460612
067,ธ. ทิสโก้ จำกัด (มหาชน),TISCO BANK PUBLIC COMPANY LIMITED,25480701
069,ธ. เกียรตินาคิน จำกัด (มหาชน),KIATNAKIN BANK PUBLIC COMPANY LIMITED,25481003
070,ธ. ไอซีบีซี (ไทย) จำกัด (มหาชน),INDUSTRIAL AND COMMERCIAL BANK OF CHINA (THAI) PUBLIC COMPANY LIMITED,25481223
071,ธ. ไทยเครดิต เพื่อรายย่อย จำกัด (มหาชน),THE THAI CREDIT RETAIL BANK PUBLIC COMPANY LIMITED,25500118
073,ธ. แลนด์ แอนด์ เฮ้าส์ จำกัด (มหาชน),LAND AND HOUSES BANK PUBLIC COMPANY LIMITED,25481219
079,ธ. เอเอ็นแซด (ไทย) จำกัด (มหาชน),ANZ BANK (THAI) PUBLIC COMPANY LIMITED,25580629
080,ธ. ซูมิโตโม มิตซุย ทรัสต์ (ไทย) จำกัด (มหาชน),SUMITOMO MITSUI TRUST BANK (THAI) PUBLIC COMPANY LIMITED,25581028
093,บรรษัทประกันสินเชื่ออุตสาหกรรมขนาดย่อม,THAI CREDIT GUARANTEE CORPORATION,25350221
096,บรรษัทตลาดรองสินเชื่อที่อยู่อาศัย,SECONDARY MORTGAGE CORPORATION,25400701
098,ธ. พัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย,SMALL AND MEDIUM ENTERPRISE DEVELOPMENT BANK OF THAILAND,25350501
301,บ. ไดนามิค เปย์เม้นท์ จำกัด,"DYNAMIC PAYMENT CO., LTD.",25570921
302,บ. ห้างเซ็นทรัล ดีพาทเมนท์สโตร์ จำกัด,HARNG CENTRAL DEPARTMENT STORE LTD.,25570918
303,บ. แอร์เพย์ (ประเทศไทย) จำกัด,"AIRPAY (THAILAND) CO., LTD.",25571114
304,บ. พระอินทร์ ฟินเทค จำกัด,"PRAIN FINTECH CO., LTD.",25580420
305,บ. เซ็นทรัล เพย์เม้นท์ จำกัด,CENTRAL PAYMENT LIMITED,25611106
306,บ. ฟอร์ท สมาร์ท เซอร์วิส จำกัด (มหาชน),"FORTH SMART SERVICE PUBLIC CO., LTD.",25580715
307,บ. แมคคาเล กรุ๊พ จำกัด (มหาชน),MACKALE GROUP PUBLIC COMPANY LIMITED,25580923
308,บ. สหไพบูลย์ (2558) จำกัด,"SAHAPAIBOON (2558) CO., LTD.",25580720
309,บ. ไอร่า แอนด์ ไอฟุล จำกัด (มหาชน),AIRA & AIFUL PUBLIC COMPANY LIMITED,25580819
310,บ. ดิจิตอล เจน จำกัด,"DIGITAL GEN CO., LTD.",25590421
311,บ. โรบินสัน จำกัด (มหาชน),"ROBINSON PUBLIC CO., LTD.",25580617
312,บ. ไมด้า ลิสซิ่ง จำกัด (มหาชน),MIDA LEASING PUBLIC COMPANY LIMITED,25590208
313,บ. โดเมสติค แคปปิตอล 2015 จำกัด,"DOMESTIC CAPITAL 2015 CO., LTD.",25590104
314,บ. ไอทีทีพี จำกัด,"ITTP CO.,LTD.",25590104
315,บ. ทีเค เงินทันใจ จำกัด,"TK NGERN TAN JAI CO., LTD.",25590128
316,บ. เจ ฟินเทค จำกัด,J  FINTECH COMPAMY LIMITED,25580815
317,บ. บี-52 แคปปิตอล จำกัด (มหาชน),"B-52 CAPITAL PUBLIC CO., LTD.",25581223
318,บ. โอมิเซะ จำกัด,"OMISE CO., LTD.",25580915
319,บ. พี.เอส.เอ็น.ลิสซิ่ง จำกัด,"P.S.N. LEASING CO., LTD.",25590109
320,บ. โกลบอล ไพร์ม คอร์ปอเรชั่น จำกัด,"GLOBAL PRIME CORPORATION CO., LTD.",25600122
321,บ. เอเชียเจมส์ฟอร์ยู จำกัด,"ASIA GEMS FOR YOU CO., LTD.",25590609
322,บ. จี แคปปิตอล จำกัด (มหาชน),G CAPITAL PUBLIC COMPANY LIMITED,25581201
323,บ. เฮลโลเพย์ จำกัด,"HELLOPAY CO., LTD.",25590425
324,บ. ธนทัต โซลูชั่น จำกัด,"TANATAT SOLUTION CO., LTD.",25480216
325,บ. เงินต่อยอด จำกัด,"NGOENTORYOD CO.,LTD.",25590920
326,บ. ปิยะระยองกรุ๊ป จำกัด,"PIYARAYONGGROUP CO.,LTD.",25590301
327,บ. พีทีที ดิจิตอล โซลูชั่น จำกัด,"PTT DIGITAL SOLUTIONS CO., LTD.",25581116
328,บ. พสิษฐ์ภาคิณ จำกัด,"PHASITPAKIN CO.,LTD.",25590401
329,บ. เอ.ที.ลีซซิ่ง จำกัด,"A.T. LEASING CO., LTD.",25591223
330,บ. เงินแสนสบาย จำกัด,NGERNSAENSABAI COMPANY LIMITED,25590519
331,บ. วีซ่า อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด,VISA INTERNATIONAL (THAILAND) LTD.,25610615
333,บ. ไทย เพย์เมนต์ เน็ตเวิร์ก จำกัด,"THAI PAYMENT NETWORK CO., LTD.",25590406
334,บ. จีพีซีเอ็ม กรุ๊ป จำกัด,"GPCM GROUP CO., LTD.",25590413
335,บ. แอสเซนด์ นาโน จำกัด,"ASCEND NANO CO., LTD.",25610725
336,บ. เทอร์โบ แคช (ประเทศไทย) จำกัด,"TURBO CASH (THAILAND) CO.,LTD",25590601
337,บ. พระยาเปย์ จำกัด,"PRAYAPAY CO., LTD.",25590901
338,บ. สบาย เทคโนโลยี จำกัด (มหาชน),"SABUY TECHNOLOGY PUBLIC CO., LTD.",25600424
339,บ. เอ็มโอแอล เพย์เมนท์ จำกัด,"MOL PAYMENT CO., LTD.",25591001
340,บ. ไอเพย์88 (ประเทศไทย) จำกัด,"IPAY88(THAILAND) CO., LTD.",25590629
341,บ. นครหลวง แคปปิตอล จำกัด (มหาชน),NAKHONLUANG CAPITAL PUBLIC COMPANY LIMITED,25610315
342,บ. เอเอเอ็ม แคปปิตอล เซอร์วิส จำกัด,"AAM CAPITAL SERVICE CO., LTD.",25600201
343,บ. ทางด่วนและรถไฟฟ้ากรุงเทพ จำกัด (มหาชน),"BANGKOK EXPRESSWAY AND METRO PUBLIC CO., LTD.",25590806
344,บ. ทูซีทูพี พลัส (ประเทศไทย) จำกัด,"2C2P PLUS (THAILAND) CO., LTD.",25591201
345,บ. พีซีโฮม (ประเทศไทย) จำกัด,"PCHOME (THAILAND) CO., LTD.",25600803
346,บ. ทรี เพย์ (ประเทศไทย) จำกัด,"TREE PAY (THAILAND) CO., LTD.",25600128
347,บ. เธียรสุรัตน์ ลีสซิ่ง จำกัด,"THIENSURAT LEASING CO., LTD.",25601102
348,บ. สวัสดีช้อป จำกัด,"SAWASDEESHOP CO., LTD.",25601115
349,บ. บลูเพย์ จำกัด,"BLUEPAY CO., LTD.",25600404
350,บ. เอเชีย เวลธ์ พลัส แมเนจเม้นท์ จำกัด,"ASIA WEALTH PLUS MANAGEMENT CO., LTD.",25600613
352,บ. วีซี เวลท์ จำกัด,VC WEALTH COMPANY LIMITED,25610601
353,บ. เพย์ เอนเทอไพร์ซ จำกัด,"PAY ENTERPRISE CO., LTD.",25610529
354,บ. มีเดีย เซ็นเตอร์ จำกัด,"MEDIA CENTER CO., LTD.",25601010
355,บ. เอ็ม แคปปิตอล คอร์ปอเรชั่น จำกัด,"M CAPITAL CORPORATION CO., LTD.",25610301
356,บ. เงินเทอร์โบ จำกัด,"NGERNTURBO CO., LTD.",25620201
357,บ. ควิก ลิสซิ่ง จำกัด,"QUICK LEASING CO., LTD.",25610815
358,บ. เอนี่เพย์ จำกัด,"ANYPAY CO., LTD.",25610731
359,การทางพิเศษแห่งประเทศไทย,THE EXPRESSWAY AUTHORITY OF THAILAND,25610921
360,บ. เคเชอร์ เพย์เมนท์ จำกัด,"KSHER PAYMENT CO., LTD.",25611025
361,บ.ล็อกซเล่ย์ ออบิท จำกัด (มหาชน),บ.ล็อกซเล่ย์ ออบิท จำกัด (มหาชน),25611106
367,บ. เอ็มซี เปเม้นท์ (ไทยแลนด์) จำกัด,"MC PAYMENT (THAILAND) CO., LTD.",25620103
370,บ. ชโย แคปปิตอล จำกัด,"CHAYO CAPITAL CO., LTD.",25620401
373,บริษัท เฮงลิสซิ่ง จำกัด,"HENG LEASING CO., LTD.",25620715
374,บ. เซ็นทรัล เจดี มันนี่ จำกัด,"CENTRAL JD MONEY CO., LTD.",25620617
379,บ. เหรียญทองธุรกิจ จำกัด,"RHIANTHONG BUSINESS CO., LTD",25620724
380,บ. เหรียญทองสินทรัพย์ จำกัด,"RHIANTHONG ASSET CO.,LTD",25620724
452,บง. แอ็ดวานซ์ จำกัด (มหาชน),ADVANCE FINANCE PUBLIC COMPANY LIMITED,25170912
453,บง. ศรีสวัสดิ์ จำกัด (มหาชน),SRISAWAD FINANCE PUBLIC COMPANY LIMITED,25120721
608,บค. ลินน์ ฟิลลิปส์ มอร์ทเก็จ จำกัด,"LYNN PHILLIPS MORTGAGE CREDIT FONCIER CO., LTD.",25210824
610,บค. เวิลด์ จำกัด,"WORLD CREDIT FONCIER CO., LTD.",25160921
613,บค. แคปปิตอล ลิ้งค์ จำกัด,CAPITAL LINK CREDIT FONCIER LIMITED,25160711
635,THE SHIGA BANK LIMITED,THE SHIGA BANK LIMITED,25550209
636,THE HOKURIKU BANK LIMITED,THE HOKURIKU BANK LIMITED,25550320
637,"THE BANK OF FUKUOKA, LTD.","THE BANK OF FUKUOKA, LTD.",25550327
638,"THE BANK OF YOKOHAMA, LIMITED","THE BANK OF YOKOHAMA, LIMITED",25550424
639,JAPAN BANK FOR INTERNATIONAL COOPERATION,JAPAN BANK FOR INTERNATIONAL COOPERATION,25550401
640,"THE SHOKO CHUKIN BANK, LTD.","THE SHOKO CHUKIN BANK, LTD.",25550913
641,"THE SHANGHAI COMMERCIAL & SAVINGS BANK, LIMITED","THE SHANGHAI COMMERCIAL & SAVINGS BANK, LIMITED",25550928
642,SHINKIN CENTRAL BANK,SHINKIN CENTRAL BANK,25551001
643,"THE HYAKUGO BANK, LTD.","THE HYAKUGO BANK, LTD.",25551119
645,เดอะ แบ๊งค์ ออฟ เกียวโต ลิมิเต็ด,"THE BANK OF KYOTO, LTD.",25560924
646,ดิ โอคาซากิ ชินกิน แบ๊งค์,THE OKAZAKI SHINKIN BANK,25561001
647,เดอะ ซัน - อินโกโด แบ๊ง ลิมิเต็ด,"THE SAN-IN GODO BANK, LIMITED",25561010
648,นอร์ธ แปซิฟิค แบ๊งค์ ลิมิเต็ด,"NORTH PACIFIC BANK, LTD.",25570109
649,เดอะ ฮามามัตสึ ชินกิน แบ๊งค์,THE HAMAMATSU SHINKIN BANK,25570121
650,โคเรีย ดีเวลลอปเมนท์ แบงก์,KOREA DEVELOPMENT BANK,25570515
651,สเตท สตรีท แบงก์ แอนด์ ทรัสต์ คัมปะนี,STATE STREET BANK AND TRUST COMPANY,25570602
652,เดอะ เฮคิไค ชินกิน แบ๊งค์,THE HEKIKAISHINKIN BANK,25570702
653,"เดอะ โฮคุโตะ แบ๊งค์, ลิมิเต็ด","THE HOKUTO BANK, LTD.",25570731
654,"เดอะ ชิบะ แบ๊งค์, ลิมิเต็ด","THE CHIBA BANK, LIMITED",25570909
655,"เดอะ ฟุคุอิ แบ๊งค์, ลิมิเต็ด","THE FUKUI BANK, LTD.",25571125
656,"เดอะ จูโรกุ แบ๊งค์, ลิมิเต็ด","THE JUROKU BANK, LIMITED",25580320
657,"เดอะชูโกคุ แบ๊งค์, ลิมิเต็ด",THE CHUGOKU BANK LIMITED,25580609
658,เดอะ กิฟุ ชินกิน แบ๊งค์,THE GIFU SHINKIN BANK,25581211
659,ดิ เอ็กซ์พอร์ท-อิมพอร์ท แบงค์ ออฟ เดอะ รีพับบลิค ออฟ ไชน่า,THE EXPORT-IMPORT BANK OF THE REPUBLIC OF CHINA,25581221
660,เดอะ กุนมะ แบงค์ ลิมิเต็ด,"THE GUNMA BANK, LTD.",25590805
662,ธนาคารร่วมพัฒนา จำกัด,JOINT DEVELOPMENT BANK LIMITED,25600503
663,เดอะ ชิมิซุ แบ๊งค์ ลิมิเต็ด,"THE SHIMIZU BANK, LTD.",25600703
664,แบงค์ ออฟ ไต้หวัน,BANK OF TAIWAN,25610111
665,ดิ อาชิคากะ แบ๊งค์ ลิมิเต็ด,"THE ASHIKAGA BANK, LTD.",25601220
666,เดอะ ฮคโคคุ แบ๊งค์ ลิมิเต็ด,"THE HOKKOKU BANK, LTD.",25620109
701,บบส. กรุงเทพพาณิชย์ จำกัด (มหาชน),BANGKOK COMMERCIAL ASSET MANAGEMENT PUBLIC COMPANY LIMITED,25450201
703,บบส. เพทาย จำกัด,"PHETHAI ASSET MANAGEMENT CO.,LTD",25421013
705,บบส. ทวี จำกัด,"SINNSUPTAWEE ASSET MANAGEMENT CO.,LTD",25421230
706,บบส. เอ็น เอฟ เอส จำกัด,"N F S ASSET MANAGEMENT CO.,LTD.",25430322
708,บบส. สุขุมวิท จำกัด,"SUKHUMVIT ASSET MANAGEMENT CO.,LTD.",25430531
710,บบส. แม๊กซ์ จำกัด,"MAX ASSET MANAGEMENT CO.,LTD.",25430825
714,บบส. กรุงศรีอยุธยา จำกัด,"AYUDHYA ASSET MANAGEMENT CO.,LTD",25431109
717,บบส. สาทร จำกัด,"SATHORN ASSET MANAGEMENT CO., LTD.",25480901
718,บบส. โกลบอลวัน จำกัด,"GLOBALONE ASSET MANAGEMENT CO.,LTD.",25490712
722,บบส. มหานคร จำกัด,MAHANAKORN ASSET MANAGEMENT COMPANY LIMITED,25510328
723,บบส. อัลฟาแคปปิตอล จำกัด,"ALPHA CAPITAL ASSET MANAGEMENT CO.,LTD.",25510320
724,บบส. อินเตอร์ แคปปิตอล อลิอันซ์ จำกัด,"INTER CAPITAL ALLIANCE ASSET MANAGEMENT CO.,LTD.",25510215
725,บบส. ไทยบังคับและติดตามสินทรัพย์ จำกัด,THAI ASSET ENFORCEMENT AND RECOVERY ASSET MANAGEMENT COMPANY LIMITED,25511101
726,บบส. เอเอเอ็มซี จำกัด,AAMC ASSET MANAGEMENT COMPANY LIMITED,25570623
727,บบส. รัชโยธิน จำกัด,"RUTCHAYOTHIN ASSETS MANAGEMENT CO., LTD",25511001
728,บบส. รีจินอล จำกัด,REGIONAL ASSET MANAGEMENT LIMITED,25590201
729,บบส. ลินน์ ฟิลลิปส์ จำกัด,"LYNN PHILLIPS ASSET MANAGEMENT CO., LTD.",25530928
731,บบส. ที เอส จำกัด,TS ASSET MANAGEMENT COMPANY LIMITED,25540518
732,บบส. ไอคอน แคปปิตอล (ประเทศไทย) จำกัด,"AIQON CAPITAL ASSET MANAGEMENT (THAILAND) CO., LTD.",25540901
733,บบส. เอ็นเอ็ม แอ็สเซ็ท โปร จำกัด,"NM ASSET PRO ASSET MANAGEMENT CO.,LTD",25550917
734,บบส. ซีเอฟ เอเชีย จำกัด,"CF ASIA ASSET MANAGEMENT CO., LTD.",25560409
735,บบส. ธนภัทร จำกัด,"THANAPATS ASSET MANAGEMENT CO., LTD.",25570401
736,บบส. รักษณาสยาม จำกัด,RAKSANA SIAM ASSET MANAGEMENT LTD.,25560522
737,บบส. ออเรอัส จำกัด,"AUREUS ASSET MANAGEMENT CO.,LTD.",25580618
738,บบส. เจ จำกัด,"J ASSET MANAGEMENT CO., LTD.",25560618
739,บบส. เอเซีย จำกัด,"ASIA ASSET MANAGEMENT CO., LTD.",25560809
740,บบส. บี.เอ.765 จำกัด,"B.A. 765 ASSET MANAGEMENT CO., LTD.",25561022
741,บบส. ไนท คลับ แคปปิตอล จำกัด,KNIGHT CLUB CAPITAL ASSET MANAGEMENT COMPANY LIMITED,25561126
742,บบส. ไทย (เอ) จำกัด,"THAI (A) ASSET MANAGEMENT CO., LTD.",25561001
743,บบส. เอกธัญกิจ จำกัด,"EKTHUNYAKIT ASSET MANAGEMENT CO., LTD.",25561114
744,บบส. ชโย จำกัด,"CHAYO ASSET MANAGEMENT CO., LTD.",25570321
